SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;Grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;voto_scritto_eng;voto_orale_eng;codice_orario;Cod_Reg;Areageo_5;WLE_ELI_200;LIVELLI_WLE_ELI;peso_studente;peso_classe;peso_scuola;ESCS_studente
1056;34;126;1;13;2;8;4;1;1;1;1;1;12;7;12;5;12;5;3;2;1;201,366470595649;2;27,6780303030303;1,38636363636364;19,9644808743169;,25582983756307
1056;34;127;1;13;2;12;4;2;1;2;2;2;12;8;12;7;12;7;3;2;1;231,013357063838;3;27,6780303030303;1,38636363636364;19,9644808743169;,951005466663121
1056;34;128;1;13;1;11;4;1;1;1;1;1;12;9;12;8;12;8;3;2;1;230,030523719445;3;27,6780303030303;1,38636363636364;19,9644808743169;-,492091176558452
1056;34;129;1;13;2;6;4;1;1;1;1;1;12;7;12;4;12;6;3;2;1;276,496569882492;3;27,6780303030303;1,38636363636364;19,9644808743169;-,023524600692709
1056;34;130;1;13;1;10;4;1;1;1;1;1;12;9;12;9;12;8;3;2;1;276,55550576137;3;27,6780303030303;1,38636363636364;19,9644808743169;-,503338599685825
1056;34;131;1;13;2;11;4;1;1;3;4;4;12;9;12;6;12;8;3;2;1;224,363312752865;3;27,6780303030303;1,38636363636364;19,9644808743169;-,169269498241085
1056;34;132;1;13;2;6;4;1;1;1;1;4;12;9;12;7;12;8;3;2;1;280,661773136131;3;27,6780303030303;1,38636363636364;19,9644808743169;,345972138208884
1056;34;133;1;13;2;1;4;1;1;1;1;1;12;7;12;4;12;4;3;2;1;179,13986802955;2;27,6780303030303;1,38636363636364;19,9644808743169;-,294171680523709
1056;34;134;1;13;2;2;4;1;1;1;1;1;12;9;12;8;12;7;3;2;1;219,776315095188;3;27,6780303030303;1,38636363636364;19,9644808743169;-,713203337907377
1056;34;135;1;13;1;4;4;1;1;1;1;1;12;7;12;5;12;5;3;2;1;196,818528855491;2;27,6780303030303;1,38636363636364;19,9644808743169;,755149189715068
1056;34;136;1;13;2;5;4;1;1;1;1;1;12;7;12;6;12;6;3;2;1;203,029976006649;2;27,6780303030303;1,38636363636364;19,9644808743169;,951005466663121
1056;34;137;1;13;2;3;4;1;1;1;1;1;12;8;12;6;12;6;3;2;1;199,287799267188;2;27,6780303030303;1,38636363636364;19,9644808743169;-,93306089198401
1056;34;138;1;13;2;1;4;4;1;2;3;3;12;8;12;8;12;7;3;2;1;213,647723993024;2;27,6780303030303;1,38636363636364;19,9644808743169;-1,49232655670842
1056;34;139;1;13;1;5;4;1;1;1;1;1;12;9;12;8;12;7;3;2;1;236,437239669613;3;27,6780303030303;1,38636363636364;19,9644808743169;-,992557776163156
1056;34;140;1;13;2;8;4;1;1;1;1;1;12;9;12;8;12;8;3;2;1;246,949704298675;3;27,6780303030303;1,38636363636364;19,9644808743169;-,116656394434386
1056;34;141;1;13;1;10;4;1;1;1;1;1;12;7;12;5;12;7;3;2;1;277,165149996848;3;27,6780303030303;1,38636363636364;19,9644808743169;,453299905204544
1056;34;142;1;13;2;4;4;1;1;1;1;1;12;9;12;9;12;8;3;2;1;243,774464248722;3;27,6780303030303;1,38636363636364;19,9644808743169;1,8115636276852
1056;34;143;1;13;1;3;4;1;1;1;1;1;12;8;12;7;12;7;3;2;1;235,088809150543;3;27,6780303030303;1,38636363636364;19,9644808743169;1,69152404293097
1054;31;144;1;13;1;12;4;1;1;1;1;1;12;6;12;8;12;6;3;2;1;145,0071123418;1;23,8790849673203;1,3921568627451;17,1525821596244;,776251218719925
1056;35;145;1;13;1;10;4;1;1;1;1;1;12;6;12;8;12;7;3;2;1;210,306180630057;2;27,6780303030303;1,38636363636364;19,9644808743169;,267077260690442
1056;35;146;1;13;1;1;4;1;1;3;3;3;12;6;12;7;12;8;3;2;1;206,270595966852;2;27,6780303030303;1,38636363636364;19,9644808743169;-,514029234600342
1056;35;147;1;13;2;6;4;1;1;1;1;1;12;6;12;6;12;7;3;2;1;162,838038139101;1;27,6780303030303;1,38636363636364;19,9644808743169;-,407258255817538
1056;35;148;1;13;2;10;4;1;1;1;1;1;12;7;12;7;12;9;3;2;1;182,605090879073;2;27,6780303030303;1,38636363636364;19,9644808743169;-,701955914780005
1056;35;149;1;13;2;3;4;1;1;1;1;1;12;7;12;7;12;8;3;2;1;216,569200835419;3;27,6780303030303;1,38636363636364;19,9644808743169;,267077260690442
1056;35;150;1;13;1;7;4;1;1;1;1;1;12;6;12;7;12;8;3;2;1;204,852197006874;2;27,6780303030303;1,38636363636364;19,9644808743169;1,68313383168469
1056;35;151;1;13;1;6;4;1;1;1;1;1;12;5;12;6;12;7;3;2;1;192,809650593977;2;27,6780303030303;1,38636363636364;19,9644808743169;1,40092218154782
1056;35;152;1;13;2;11;4;1;1;1;1;1;12;9;12;9;12;9;3;2;1;199,541136917786;2;27,6780303030303;1,38636363636364;19,9644808743169;1,02325620484347
1056;35;153;1;13;1;8;4;1;1;1;1;1;12;6;12;8;12;8;3;2;1;194,548685340652;2;27,6780303030303;1,38636363636364;19,9644808743169;,965463356329889
1056;35;154;1;13;1;10;4;1;1;1;1;1;12;6;12;6;12;8;3;2;1;203,126625611157;2;27,6780303030303;1,38636363636364;19,9644808743169;1,40092218154782
